0,1,2,3,4,5,6,7,8,9,10,11,12,13
SAMPLE 1 % ,SI02 ,AL203 ,CAO ,MGO ,NA20 ,K20 ,FE203 ,MNO ,TIO2 ,P205 ,CR203 ,LOI ,SUM 
172668 ,60.1 ,16.3 ,.34 ,2.59 ,6.05 ,.50 ,9.41 ,.12 ,1.35 ,.23 ,<.01 ,3.40 ,100.4 
172669 ,66.0 ,18.4 ,.12 ,.48 ,1.48 ,4.64 ,4.20 ,<.01 ,1.16 ,.09 ,<.01 ,3.65 ,100.2 
172670 ,70.6 ,15.6 ,.41 ,.48 ,1.40 ,4.39 ,2.36 ,<.01 ,1.04 ,.37 ,<.01 ,3.05 ,100.2 
172671 ,71.5 ,15.1 ,.32 ,.21 ,1.99 ,2.64 ,3.68 ,.05 ,.982 ,.37 ,<.01 ,3.35 ,100.2 
172672 ,78.7 ,12.6 ,.04 ,.15 ,2.66 ,2.41 ,.95 ,<.01 ,.231 ,.03 ,<.01 ,1.55 ,99.3 
172673 ,76.8 ,12.3 ,.31 ,.18 ,3.43 ,1.91 ,2.94 ,.04 ,.242 ,.04 ,<.01 ,2.05 ,100.2 
172674 ,70.2 ,15.8 ,.26 ,.26 ,.58 ,3.98 ,3.98 ,.01 ,1.08 ,.36 ,<.01 ,3.60 ,100.1 
172675 ,57.1 ,15.0 ,.20 ,1.15 ,.92 ,3.59 ,14.2 ,.26 ,1.42 ,.23 ,<.01 ,6.15 ,100.2 
172676 ,52.1 ,17.3 ,2.35 ,4.55 ,3.09 ,1.79 ,12.1 ,.17 ,1.32 ,.15 ,<.01 ,5.30 ,100.2 
172677 ,49.7 ,19.9 ,5.52 ,1.76 ,2.94 ,2.61 ,9.59 ,.12 ,.837 ,.07 ,<.01 ,7.20 ,100.2 
172678 ,85.7 ,8.28 ,.07 ,.06 ,4.31 ,.12 ,.99 ,<.01 ,.138 ,.02 ,<.01 ,.50 ,100.2 
172679 ,84.3 ,9.88 ,.05 ,.31 ,.13 ,2.88 ,.90 ,<.01 ,.145 ,.02 ,<.01 ,1.55 ,100.2 
172680 ,75.4 ,11.6 ,1.48 ,.62 ,2.29 ,2.19 ,3.21 ,.05 ,.193 ,.03 ,<.01 ,3.05 ,100.1 
172681 ,81.7 ,11.3 ,.03 ,.36 ,.20 ,3.21 ,.83 ,<.01 ,.345 ,.02 ,<.01 ,1.90 ,99.9 
172682 ,84.5 ,9.33 ,.03 ,.35 ,.24 ,2.56 ,1.20 ,<.01 ,.162 ,.03 ,<.01 ,1.85 ,100.2 
172683 ,77.8 ,12.9 ,.07 ,.12 ,3.50 ,1.77 ,.94 ,<.01 ,.237 ,.03 ,<.01 ,1.50 ,98.9 
172684 ,55.3 ,16.0 ,1.56 ,4.67 ,2.68 ,1.29 ,11.8 ,.22 ,1.39 ,.15 ,<.01 ,5.10 ,100.2 
C SY-2 ,59.7 ,11.9 ,8.05 ,2.70 ,4.18 ,4.32 ,6.18 ,.32 ,.140 ,.43 ,<.01 ,1.20 ,99.1 
C SY-2 ,59.7 ,12.0 ,8.01 ,2.70 ,4.18 ,4.32 ,6.17 ,.31 ,.146 ,.43 ,<.01 ,1.20 ,99.2 
D 172668 ,60.4 ,16.2 ,.35 ,2.58 ,6.06 ,.49 ,9.40 ,.12 ,1.34 ,.22 ,<.01 ,3.45 ,100.6 
D 172681 ,82.0 ,11.2 ,.03 ,.35 ,.18 ,3.20 ,.83 ,<.01 ,.336 ,.02 ,<.01 ,1.95 ,100.1 
